job_title,Company,Company_Location,Post On,Job_link
Build your Data Analytics Portfolio,CareerMatch,"Bahawalpur, Punjab, Pakistan",3 weeks ago,https://pk.linkedin.com/jobs/view/build-your-data-analytics-portfolio-at-careermatch-3518332939?refId=F413JMPRXK6okpFcZzm9jA%3D%3D&trackingId=YLJz347UdrW3i4kAtzecIQ%3D%3D&position=9&pageNum=1&trk=public_jobs_jserp-result_search-card
Build your Data Analytics Portfolio,CareerMatch,"Sargodha, Punjab, Pakistan",3 weeks ago,https://pk.linkedin.com/jobs/view/build-your-data-analytics-portfolio-at-careermatch-3518334783?refId=F413JMPRXK6okpFcZzm9jA%3D%3D&trackingId=tWteuiN%2FhSVxyiMo7KBDZg%3D%3D&position=10&pageNum=1&trk=public_jobs_jserp-result_search-card
Client Data Services (Sr. Analyst),Afiniti,"Karachi Division, Sindh, Pakistan",2 weeks ago,https://pk.linkedin.com/jobs/view/client-data-services-sr-analyst-at-afiniti-3416249630?refId=F413JMPRXK6okpFcZzm9jA%3D%3D&trackingId=a3DszgV8%2B4A5RYmZT2pPSA%3D%3D&position=11&pageNum=1&trk=public_jobs_jserp-result_search-card
Client Data Services (Sr. Analyst),Afiniti,"Karachi Division, Sindh, Pakistan",5 days ago,https://pk.linkedin.com/jobs/view/client-data-services-sr-analyst-at-afiniti-3497152761?refId=F413JMPRXK6okpFcZzm9jA%3D%3D&trackingId=Fjym5Fe0U7LOkb3htXFmcA%3D%3D&position=12&pageNum=1&trk=public_jobs_jserp-result_search-card
Build your Data Analytics Portfolio,CareerMatch,"Larkana District, Sindh, Pakistan",3 weeks ago,https://pk.linkedin.com/jobs/view/build-your-data-analytics-portfolio-at-careermatch-3518331873?refId=F413JMPRXK6okpFcZzm9jA%3D%3D&trackingId=qSZ6fE33WIHFMeJNcfubkA%3D%3D&position=13&pageNum=1&trk=public_jobs_jserp-result_search-card
Senior Data Analyst,IQVIA,"Karāchi, Sindh, Pakistan",1 month ago,https://pk.linkedin.com/jobs/view/senior-data-analyst-at-iqvia-3521764767?refId=F413JMPRXK6okpFcZzm9jA%3D%3D&trackingId=A5Xe6gZlaavyWXLW%2FWElRA%3D%3D&position=14&pageNum=1&trk=public_jobs_jserp-result_search-card
Data Engineer,HR Ways - Hiring Tech Talent,"Lahore, Punjab, Pakistan",2 days ago,https://pk.linkedin.com/jobs/view/data-engineer-at-hr-ways-hiring-tech-talent-3531661507?refId=F413JMPRXK6okpFcZzm9jA%3D%3D&trackingId=myEI5UEVse2txgoTFM3cZw%3D%3D&position=15&pageNum=1&trk=public_jobs_jserp-result_search-card
Data Analyst/Engineer,Turing,Pakistan,1 month ago,https://pk.linkedin.com/jobs/view/data-analyst-engineer-at-turing-3515758793?refId=F413JMPRXK6okpFcZzm9jA%3D%3D&trackingId=yqgMSq6gX1UbCZEe%2B6v7Eg%3D%3D&position=16&pageNum=1&trk=public_jobs_jserp-result_search-card
Data Engineer,Aridian Technologies,"Rawalpindi, Punjab, Pakistan",2 days ago,https://pk.linkedin.com/jobs/view/data-engineer-at-aridian-technologies-3531656596?refId=F413JMPRXK6okpFcZzm9jA%3D%3D&trackingId=8SKCXSw8rWBYv6Hb3tOaAw%3D%3D&position=17&pageNum=1&trk=public_jobs_jserp-result_search-card
Data Engineer Associate,software solution LLC,"Lahore, Punjab, Pakistan",2 weeks ago,https://pk.linkedin.com/jobs/view/data-engineer-associate-at-software-solution-llc-3504188860?refId=F413JMPRXK6okpFcZzm9jA%3D%3D&trackingId=ijeDDHtjzyKk%2BfDgtSHdIQ%3D%3D&position=18&pageNum=1&trk=public_jobs_jserp-result_search-card
Client Data Services (Sr. Analyst),Afiniti,"Peshawar, Khyber Pakhtunkhwa, Pakistan",2 weeks ago,https://pk.linkedin.com/jobs/view/client-data-services-sr-analyst-at-afiniti-3416250553?refId=F413JMPRXK6okpFcZzm9jA%3D%3D&trackingId=0bSYkqLqWkGA9DcCGkjRNw%3D%3D&position=19&pageNum=1&trk=public_jobs_jserp-result_search-card
Client Data Services (Sr. Analyst),Afiniti,"Peshawar, Khyber Pakhtunkhwa, Pakistan",5 days ago,https://pk.linkedin.com/jobs/view/client-data-services-sr-analyst-at-afiniti-3497154599?refId=F413JMPRXK6okpFcZzm9jA%3D%3D&trackingId=b6Rw3Vj8YYray3HP1AtVGQ%3D%3D&position=20&pageNum=1&trk=public_jobs_jserp-result_search-card
Data Engineer (Remote),Token Metrics,"Islamabad, Islāmābād, Pakistan",1 month ago,https://pk.linkedin.com/jobs/view/data-engineer-remote-at-token-metrics-3483091125?refId=F413JMPRXK6okpFcZzm9jA%3D%3D&trackingId=H%2BQFV9jkKG3sSupqaVdjgg%3D%3D&position=21&pageNum=1&trk=public_jobs_jserp-result_search-card
Data Engineer | OSINT Enthusiast | Data Scrapper,Infinite Group,"Lahore, Punjab, Pakistan",2 weeks ago,https://pk.linkedin.com/jobs/view/data-engineer-osint-enthusiast-data-scrapper-at-infinite-group-3508585242?refId=F413JMPRXK6okpFcZzm9jA%3D%3D&trackingId=MKunz4hmfaE%2FzszTr7KgDQ%3D%3D&position=22&pageNum=1&trk=public_jobs_jserp-result_search-card
Data Analyst / Scientist,Turing,Pakistan,1 month ago,https://pk.linkedin.com/jobs/view/data-analyst-scientist-at-turing-3499689944?refId=F413JMPRXK6okpFcZzm9jA%3D%3D&trackingId=aN%2BB5zFMbC3UEW4bOhaBhg%3D%3D&position=23&pageNum=1&trk=public_jobs_jserp-result_search-card
Specialist Data Analytics as a Service (DAaaS) (Proactive Pipeline),Jazz,"Islamabad, Islāmābād, Pakistan",1 month ago,https://pk.linkedin.com/jobs/view/specialist-data-analytics-as-a-service-daaas-proactive-pipeline-at-jazz-3516893158?refId=F413JMPRXK6okpFcZzm9jA%3D%3D&trackingId=1IIJ7TIG6UAsehYHLw2g8w%3D%3D&position=24&pageNum=1&trk=public_jobs_jserp-result_search-card
Data Engineer,The Tech Galore,Pakistan,1 month ago,https://pk.linkedin.com/jobs/view/data-engineer-at-the-tech-galore-3520340930?refId=F413JMPRXK6okpFcZzm9jA%3D%3D&trackingId=Z6KVUk%2FdiHleRMj4DEgDPQ%3D%3D&position=25&pageNum=1&trk=public_jobs_jserp-result_search-card
BI Consultant,Teradata,"Islamabad, Islāmābād, Pakistan",1 week ago,https://pk.linkedin.com/jobs/view/bi-consultant-at-teradata-3456333829?refId=VBjbQj5CPSsnpBijD80osw%3D%3D&trackingId=UB6eylz7h6PAsBcXclUcyw%3D%3D&position=1&pageNum=2&trk=public_jobs_jserp-result_search-card
Senior Data & Insights Analyst,Careem,"Karāchi, Sindh, Pakistan",2 weeks ago,https://pk.linkedin.com/jobs/view/senior-data-insights-analyst-at-careem-3477072134?refId=VBjbQj5CPSsnpBijD80osw%3D%3D&trackingId=zXAVA213Lg2siriXIoEixg%3D%3D&position=2&pageNum=2&trk=public_jobs_jserp-result_search-card
Data Engineer II,Afiniti,"Lahore, Punjab, Pakistan",1 day ago,https://pk.linkedin.com/jobs/view/data-engineer-ii-at-afiniti-3536433152?refId=VBjbQj5CPSsnpBijD80osw%3D%3D&trackingId=GF5AFjgyTyzwxesOKslXFw%3D%3D&position=3&pageNum=2&trk=public_jobs_jserp-result_search-card
Data Engineer II,Afiniti,"Lahore, Punjab, Pakistan",1 day ago,https://pk.linkedin.com/jobs/view/data-engineer-ii-at-afiniti-3354850710?refId=VBjbQj5CPSsnpBijD80osw%3D%3D&trackingId=3OlK%2BudADj8Pd0S6OCxhjA%3D%3D&position=4&pageNum=2&trk=public_jobs_jserp-result_search-card
Data Engineer,Gaditek,"Karāchi, Sindh, Pakistan",4 weeks ago,https://pk.linkedin.com/jobs/view/data-engineer-at-gaditek-3491730260?refId=VBjbQj5CPSsnpBijD80osw%3D%3D&trackingId=d2YO63owcU6lInneXKrQKg%3D%3D&position=5&pageNum=2&trk=public_jobs_jserp-result_search-card
Data Engineer,Bentley Systems,"Islamabad, Islāmābād, Pakistan",4 months ago,https://pk.linkedin.com/jobs/view/data-engineer-at-bentley-systems-3366438123?refId=VBjbQj5CPSsnpBijD80osw%3D%3D&trackingId=rD1RI1L%2B0SQF0gE0x47Frg%3D%3D&position=6&pageNum=2&trk=public_jobs_jserp-result_search-card
Data Engineer,Bentley Systems,"Islamabad, Islāmābād, Pakistan",4 months ago,https://pk.linkedin.com/jobs/view/data-engineer-at-bentley-systems-3366439132?refId=VBjbQj5CPSsnpBijD80osw%3D%3D&trackingId=UQgIJluwKU6p9r4sKNYnGw%3D%3D&position=7&pageNum=2&trk=public_jobs_jserp-result_search-card
Scraping/Data engineer,BelgiumImmo,"Lahore, Punjab, Pakistan",1 day ago,https://pk.linkedin.com/jobs/view/scraping-data-engineer-at-belgiumimmo-3532254358?refId=VBjbQj5CPSsnpBijD80osw%3D%3D&trackingId=QMz2ehC%2FRILJ2u1DI%2FonSQ%3D%3D&position=8&pageNum=2&trk=public_jobs_jserp-result_search-card
BI Developer,BAT,"Lahore, Punjab, Pakistan",2 weeks ago,https://pk.linkedin.com/jobs/view/bi-developer-at-bat-3509614633?refId=VBjbQj5CPSsnpBijD80osw%3D%3D&trackingId=PAphBZ7EWU0N2fpLpRs%2BWw%3D%3D&position=9&pageNum=2&trk=public_jobs_jserp-result_search-card
Data base developer,"Ascend BPO Services, Inc.","Lahore, Punjab, Pakistan",1 week ago,https://pk.linkedin.com/jobs/view/data-base-developer-at-ascend-bpo-services-inc-3518617208?refId=VBjbQj5CPSsnpBijD80osw%3D%3D&trackingId=ECTQWH9MsSICXiOZmrWzfg%3D%3D&position=10&pageNum=2&trk=public_jobs_jserp-result_search-card
Data Engineer II,Afiniti,"Lahore, Punjab, Pakistan",3 weeks ago,https://pk.linkedin.com/jobs/view/data-engineer-ii-at-afiniti-3441182500?refId=VBjbQj5CPSsnpBijD80osw%3D%3D&trackingId=z2Iu1TpYhXh%2BPpYuykzylA%3D%3D&position=11&pageNum=2&trk=public_jobs_jserp-result_search-card
Data Engineer II,Afiniti,"Karachi Division, Sindh, Pakistan",1 day ago,https://pk.linkedin.com/jobs/view/data-engineer-ii-at-afiniti-3536431428?refId=VBjbQj5CPSsnpBijD80osw%3D%3D&trackingId=KRYNs2%2ByFIx4Yzn0Xuu%2BeQ%3D%3D&position=12&pageNum=2&trk=public_jobs_jserp-result_search-card
Senior Data Analyst,Turing,Pakistan,1 month ago,https://pk.linkedin.com/jobs/view/senior-data-analyst-at-turing-3515758379?refId=VBjbQj5CPSsnpBijD80osw%3D%3D&trackingId=sTPetsIMLDwWgEdJrMP2FQ%3D%3D&position=13&pageNum=2&trk=public_jobs_jserp-result_search-card
Analista de Datos,Turing,Pakistan,1 month ago,https://pk.linkedin.com/jobs/view/analista-de-datos-at-turing-3527017240?refId=VBjbQj5CPSsnpBijD80osw%3D%3D&trackingId=j6VDKjo%2F9wycBLZmmh8PeA%3D%3D&position=14&pageNum=2&trk=public_jobs_jserp-result_search-card
Power BI Developer,The Citizens Foundation,"Karāchi, Sindh, Pakistan",1 month ago,https://pk.linkedin.com/jobs/view/power-bi-developer-at-the-citizens-foundation-3507148232?refId=VBjbQj5CPSsnpBijD80osw%3D%3D&trackingId=5t2OrLtY09mnD%2B%2Boo3S2%2Bw%3D%3D&position=15&pageNum=2&trk=public_jobs_jserp-result_search-card
Junior Implementation Engineer,SmartHCM,"Karāchi, Sindh, Pakistan",22 hours ago,https://pk.linkedin.com/jobs/view/junior-implementation-engineer-at-smarthcm-3533502883?refId=VBjbQj5CPSsnpBijD80osw%3D%3D&trackingId=DPfRZRNmmzIz8fHWSsZ52g%3D%3D&position=16&pageNum=2&trk=public_jobs_jserp-result_search-card
Business Reporting Analyst,ibex. Pakistan,"Karachi Division, Sindh, Pakistan",3 weeks ago,https://pk.linkedin.com/jobs/view/business-reporting-analyst-at-ibex-pakistan-3489441946?refId=VBjbQj5CPSsnpBijD80osw%3D%3D&trackingId=ZLC9rAoTLL64Lx673OB49Q%3D%3D&position=17&pageNum=2&trk=public_jobs_jserp-result_search-card
Data Operations - 7753,ION,"Karachi Division, Sindh, Pakistan",2 months ago,https://pk.linkedin.com/jobs/view/data-operations-7753-at-ion-3475911730?refId=VBjbQj5CPSsnpBijD80osw%3D%3D&trackingId=rqpToQJ13vIjP0Jjw0QoMw%3D%3D&position=18&pageNum=2&trk=public_jobs_jserp-result_search-card
Technology Consulting- Data Governance -EY Rapid Innovation,EY,"Karachi Division, Sindh, Pakistan",3 weeks ago,https://pk.linkedin.com/jobs/view/technology-consulting-data-governance-ey-rapid-innovation-at-ey-3415760621?refId=VBjbQj5CPSsnpBijD80osw%3D%3D&trackingId=3UJMjdbDDksMKmyx8atCbg%3D%3D&position=19&pageNum=2&trk=public_jobs_jserp-result_search-card
Data Warehouse Engineer,360training,"Karāchi, Sindh, Pakistan",3 weeks ago,https://pk.linkedin.com/jobs/view/data-warehouse-engineer-at-360training-3489403761?refId=VBjbQj5CPSsnpBijD80osw%3D%3D&trackingId=SxL2VYsUVDxhdsZZgcAGfA%3D%3D&position=20&pageNum=2&trk=public_jobs_jserp-result_search-card
Data Engineer II,Afiniti,"Peshawar, Khyber Pakhtunkhwa, Pakistan",1 day ago,https://pk.linkedin.com/jobs/view/data-engineer-ii-at-afiniti-3536436013?refId=VBjbQj5CPSsnpBijD80osw%3D%3D&trackingId=VZXXlCO7VFZnR%2BwCA4rBpA%3D%3D&position=21&pageNum=2&trk=public_jobs_jserp-result_search-card
Data Engineer II,Afiniti,"Peshawar, Khyber Pakhtunkhwa, Pakistan",3 weeks ago,https://pk.linkedin.com/jobs/view/data-engineer-ii-at-afiniti-3441186169?refId=VBjbQj5CPSsnpBijD80osw%3D%3D&trackingId=ShonjokyKtCH5rMMXRRRyw%3D%3D&position=22&pageNum=2&trk=public_jobs_jserp-result_search-card
Data Engineer II,Afiniti,"Peshawar, Khyber Pakhtunkhwa, Pakistan",1 day ago,https://pk.linkedin.com/jobs/view/data-engineer-ii-at-afiniti-3354850706?refId=VBjbQj5CPSsnpBijD80osw%3D%3D&trackingId=YPGEnwSEO3mgfT3uJ23v9w%3D%3D&position=23&pageNum=2&trk=public_jobs_jserp-result_search-card
Business Analyst - Data Transformation - BFS,Careernet Technology,"Hyderabad, Sindh, Pakistan",2 weeks ago,https://pk.linkedin.com/jobs/view/business-analyst-data-transformation-bfs-at-careernet-technology-3502064718?refId=VBjbQj5CPSsnpBijD80osw%3D%3D&trackingId=vmvUrestyvRi%2Fs%2B9OD9quA%3D%3D&position=24&pageNum=2&trk=public_jobs_jserp-result_search-card
Tableau Developer- Healthcare Industry,Digifloat,"Lahore, Punjab, Pakistan",1 week ago,https://pk.linkedin.com/jobs/view/tableau-developer-healthcare-industry-at-digifloat-3522424896?refId=VBjbQj5CPSsnpBijD80osw%3D%3D&trackingId=D7P7fZ74Qgu4E0xgkHI4Sw%3D%3D&position=25&pageNum=2&trk=public_jobs_jserp-result_search-card
